Year,Men,Women,Total
2017,14439,11975,26413
2016,14471,12168,26639
2015,14588,12022,26610
2014,17523,14282,31805
2013,10638,7942,17580
2012,12588,8966,21554
2011,13806,10073,23879
2010,13072,9468,22540
2009,13547,9302,22849
2008,13028,8935,21963
2007,14344,9525,23869
2006,12063,7625,19688
2005,10894,6655,17549
2004,10504,6239,16743
2003,10737,6309,17046
2002,9149,5251,14400
2001,8586,4809,13395
2000,10207,5473,15680
1999,7511,3763,11274
1998,7149,3144,10293
1997,6414,2477,8891
1996,27371,8497,35868
1995,6409,1849,8258
1994,6353,1740,8093
1993,6013,1504,7517
1992,6562,1561,8123
1991,6291,1351,7642
1990,6516,1434,7950
1989,4239,865,5104
1988,4472,789,5261
1987,4576,793,5369
1986,3294,456,3750
1985,3472,459,3931
1984,4708,582,5290
1983,4833,555,5388
1982,4562,484,5046
1981,5074,516,5590
1980,3428,237,3665
1979,5662,296,5958
1978,3885,186,4071
1977,2227,102,2329
1976,1133,28,1161
1975,1820,28,1848
1974,1686,19,1705
1973,1388,6,1394
1972,1073,8,1081
1971,884,3,887
1970,1006,5,1011
1969,1149,3,1152
1967,434,2,436
1966,414,1,415
1965,365,0,365
1964,130,0,130
1963,183,0,183
1962,113,0,113
1961,115,0,115
1960,83,0,83
1953,92,0,92
1948,51,0,51
1947,41,0,41
1946,33,0,33
1945,34,0,34
1944,33,0,33
1943,35,0,35
1942,46,0,46
1941,75,0,75
1940,98,0,98
1935,33,0,33
1919,15,0,15
1908,92,0,92
1907,53,0,53
1906,45,0,45
1900,26,0,26
1899,11,0,11
1898,30,0,30
1897,10,0,10