Year,Men,Women,Total
2016,28899,20696,49595
2015,30108,20422,50530
2014,30699,19567,50266
2011,30068,17272,47340
2010,28948,16155,45103
2009,28485,15175,43660
2008,25216,12880,38096
2007,26072,12535,38607
2006,25546,12320,37866
2005,24795,12062,36857
2004,24574,11988,36562
2003,23014,11715,34729
2002,21625,10209,31834
2001,16811,6853,23664
2000,21005,8331,29336
1999,22626,9160,31786
1998,22587,8952,31539
1997,22014,8413,30427
1996,20749,7433,28182
1995,20284,6470,26754
1994,22758,6977,29735
1993,20781,5816,26597
1992,22356,5441,27797
1991,20593,5204,25797
1990,19274,4500,23774
1989,19971,4688,24659
1988,18431,3974,22405
1987,17555,3689,21244
1986,16366,3323,19689
1985,13403,2478,15881
1984,12196,2394,14590
1983,12343,2205,14548
1982,11700,1899,13599
1981,11466,1757,13223
1980,10890,1622,12512
1979,9274,1203,10477
1978,7819,769,8588
1977,3522,179,3701
1976,1486,63,1549
1975,303,36,339
1974,250,9,259
1973,277,5,282
1972,92,2,94
1971,153,4,157
1970,55,0,55